quarter_end,component,rank,characteristic,loading,proposed_name
2021-06-30,pc_3,5,volatility_60d,0.26414494409914896,
2021-09-30,pc_1,1,bid_price,0.4098330907989093,
2021-09-30,pc_1,2,close_price,0.4098263564632766,
2021-09-30,pc_1,3,ask_price,0.4098176958148422,
2021-09-30,pc_1,4,rsi_14d,0.35230007811785247,
2021-09-30,pc_1,5,dividend_per_share,0.2994563270691417,
2021-09-30,pc_2,1,shares_outstanding,-0.46821469308352204,
2021-09-30,pc_2,2,market_cap,-0.3697358784969456,
2021-09-30,pc_2,3,analyst_rating,-0.35372394282674113,
2021-09-30,pc_2,4,dividend_per_share,0.30762224685917877,
2021-09-30,pc_2,5,cash_flow_growth,0.28487624784167576,
2021-09-30,pc_3,1,normalized_roe,-0.5167167080075858,
2021-09-30,pc_3,2,price_to_book,-0.4938235018377083,
2021-09-30,pc_3,3,sentiment,0.3973730021609832,
2021-09-30,pc_3,4,analyst_rating,0.2686598360558672,
2021-09-30,pc_3,5,sales_growth,0.2550988522896365,
2021-12-31,pc_1,1,bid_price,0.408334223603651,
2021-12-31,pc_1,2,ask_price,0.40833066195142004,
2021-12-31,pc_1,3,close_price,0.40831644901000563,
2021-12-31,pc_1,4,rsi_14d,0.3785837704844823,
2021-12-31,pc_1,5,price_to_sales,0.285930784566048,
2021-12-31,pc_2,1,shares_outstanding,0.47175332384026014,
2021-12-31,pc_2,2,analyst_rating,0.38478233859382316,
2021-12-31,pc_2,3,dividend_per_share,-0.3775499041287143,
2021-12-31,pc_2,4,market_cap,0.33044959593943024,
2021-12-31,pc_2,5,price_to_sales,0.2890275075270927,
2021-12-31,pc_3,1,normalized_roe,-0.5736027758315607,
2021-12-31,pc_3,2,price_to_book,-0.5583411918868458,
2021-12-31,pc_3,3,sentiment,0.44956680307757746,
2021-12-31,pc_3,4,sales_growth,0.2583369141639642,
2021-12-31,pc_3,5,volatility_60d,0.22344372583153363,
2022-03-31,pc_1,1,close_price,0.39934349904458605,
2022-03-31,pc_1,2,bid_price,0.39928332845607306,
2022-03-31,pc_1,3,ask_price,0.3992458477716667,
2022-03-31,pc_1,4,rsi_14d,0.347003430710726,
2022-03-31,pc_1,5,market_cap,0.3024728598368686,
2022-03-31,pc_2,1,shares_outstanding,0.4613494273274207,
2022-03-31,pc_2,2,dividend_per_share,-0.38890921523829,
2022-03-31,pc_2,3,analyst_rating,0.35007346499587016,
2022-03-31,pc_2,4,market_cap,0.3039744672019595,
2022-03-31,pc_2,5,ask_price,-0.28513752744495346,
2022-03-31,pc_3,1,normalized_roe,0.5620936764187557,
2022-03-31,pc_3,2,price_to_book,0.5617213901488307,
2022-03-31,pc_3,3,sales_growth,-0.32989842415974174,
2022-03-31,pc_3,4,sentiment,-0.31134765845717643,
2022-03-31,pc_3,5,volatility_60d,-0.2865657617089902,
2022-06-30,pc_1,1,bid_price,0.485083187040244,
2022-06-30,pc_1,2,ask_price,0.4850808859226637,
